,close,high,open,low
2019-01-02 10:00:00,24.58,25.19,25.15,24.5
2019-01-02 11:00:00,24.61,24.71,24.59,24.51
2019-01-02 12:00:00,24.59,24.62,24.61,24.55
2019-01-02 14:00:00,24.41,24.66,24.57,24.4
2019-01-02 15:00:00,24.57,24.77,24.42,24.41
2019-01-03 10:00:00,24.82,24.87,24.4,24.4
2019-01-03 11:00:00,24.84,25.04,24.81,24.81
2019-01-03 12:00:00,24.88,24.9,24.85,24.81
2019-01-03 14:00:00,24.85,24.95,24.89,24.75
2019-01-03 15:00:00,24.88,24.89,24.87,24.7
2019-01-04 10:00:00,24.98,25.05,24.76,24.65
2019-01-04 11:00:00,25.35,25.39,24.97,24.86
2019-01-04 12:00:00,25.61,25.64,25.35,25.27
2019-01-04 14:00:00,25.33,25.64,25.61,25.27
2019-01-04 15:00:00,25.51,25.57,25.33,25.27
2019-01-07 10:00:00,25.45,25.76,25.51,25.29
2019-01-07 11:00:00,25.47,25.6,25.45,25.35
2019-01-07 12:00:00,25.41,25.52,25.47,25.38
2019-01-07 14:00:00,25.54,25.57,25.42,25.37
2019-01-07 15:00:00,25.52,25.63,25.54,25.45
2019-01-08 10:00:00,25.26,25.52,25.5,25.17
2019-01-08 11:00:00,25.22,25.41,25.26,25.16
2019-01-08 12:00:00,25.22,25.27,25.22,25.19
2019-01-08 14:00:00,25.22,25.33,25.23,25.2
2019-01-08 15:00:00,25.22,25.26,25.24,25.19
2019-01-09 10:00:00,25.68,25.74,25.22,25.22
2019-01-09 11:00:00,25.84,25.9,25.68,25.64
2019-01-09 12:00:00,25.82,25.86,25.85,25.75
2019-01-09 14:00:00,25.95,26.1,25.82,25.8
2019-01-09 15:00:00,25.7,25.95,25.94,25.69
2019-01-10 10:00:00,25.69,25.69,25.5,25.48
2019-01-10 11:00:00,25.84,25.86,25.69,25.62
2019-01-10 12:00:00,25.97,25.99,25.84,25.81
2019-01-10 14:00:00,26.02,26.08,25.97,25.9
2019-01-10 15:00:00,25.85,26.04,26.03,25.8
2019-01-11 10:00:00,26.39,26.5,25.85,25.76
2019-01-11 11:00:00,26.16,26.45,26.35,26.06
2019-01-11 12:00:00,26.23,26.3,26.19,26.16
2019-01-11 14:00:00,26.4,26.43,26.23,26.2
2019-01-11 15:00:00,26.46,26.57,26.44,26.38
2019-01-14 10:00:00,26.32,26.55,26.46,26.22
2019-01-14 11:00:00,26.42,26.5,26.32,26.25
2019-01-14 12:00:00,26.4,26.46,26.42,26.3
2019-01-14 14:00:00,26.39,26.48,26.4,26.34
2019-01-14 15:00:00,26.31,26.4,26.39,26.27
2019-01-15 10:00:00,26.46,26.56,26.31,26.3
2019-01-15 11:00:00,26.51,26.64,26.47,26.4
2019-01-15 12:00:00,26.73,26.73,26.52,26.52
2019-01-15 14:00:00,26.73,26.8,26.7,26.55
2019-01-15 15:00:00,26.8,26.83,26.73,26.7
2019-01-16 10:00:00,26.79,26.8,26.7,26.61
2019-01-16 11:00:00,26.74,26.8,26.8,26.65
2019-01-16 12:00:00,26.77,26.78,26.74,26.7
2019-01-16 14:00:00,26.76,26.79,26.72,26.65
2019-01-16 15:00:00,26.85,26.88,26.76,26.7
2019-01-17 10:00:00,26.51,26.85,26.85,26.43
2019-01-17 11:00:00,26.84,26.85,26.5,26.47
2019-01-17 12:00:00,26.77,26.85,26.83,26.76
2019-01-17 14:00:00,26.73,26.84,26.77,26.69
2019-01-17 15:00:00,26.47,26.78,26.73,26.45
2019-01-18 10:00:00,27.07,27.1,26.47,26.46
2019-01-18 11:00:00,26.89,27.17,27.05,26.82
2019-01-18 12:00:00,27.0,27.03,26.89,26.83
2019-01-18 14:00:00,27.05,27.06,27.0,26.9
2019-01-18 15:00:00,27.1,27.26,27.05,26.98
2019-01-21 10:00:00,27.25,27.44,27.08,27.03
2019-01-21 11:00:00,27.51,27.52,27.23,27.16
2019-01-21 12:00:00,27.5,27.7,27.52,27.44
2019-01-21 14:00:00,27.29,27.52,27.5,27.28
2019-01-21 15:00:00,27.33,27.33,27.28,27.2
2019-01-22 10:00:00,27.19,27.45,27.3,27.14
2019-01-22 11:00:00,27.11,27.23,27.18,27.1
2019-01-22 12:00:00,27.11,27.19,27.11,27.09
2019-01-22 14:00:00,26.82,27.09,27.08,26.76
2019-01-22 15:00:00,26.98,26.98,26.83,26.76
2019-01-23 10:00:00,27.14,27.16,26.95,26.95
2019-01-23 11:00:00,27.25,27.42,27.13,27.06
2019-01-23 12:00:00,27.35,27.41,27.24,27.22
2019-01-23 14:00:00,27.17,27.35,27.33,27.1
2019-01-23 15:00:00,27.16,27.22,27.15,27.13
2019-01-24 10:00:00,27.53,27.84,27.18,27.18
2019-01-24 11:00:00,27.67,27.7,27.51,27.27
2019-01-24 12:00:00,27.8,27.86,27.66,27.66
2019-01-24 14:00:00,27.94,28.03,27.8,27.77
2019-01-24 15:00:00,27.87,27.98,27.94,27.85
2019-01-25 10:00:00,28.41,28.63,27.87,27.85
2019-01-25 11:00:00,28.31,28.48,28.41,28.27
2019-01-25 12:00:00,28.46,28.49,28.3,28.3
2019-01-25 14:00:00,28.58,28.63,28.45,28.39
2019-01-25 15:00:00,28.52,28.59,28.58,28.49
2019-01-28 10:00:00,28.95,29.01,28.52,28.51
2019-01-28 11:00:00,28.99,29.13,28.96,28.88
2019-01-28 12:00:00,28.9,29.01,28.99,28.82
2019-01-28 14:00:00,28.52,28.95,28.9,28.51
2019-01-28 15:00:00,28.66,28.7,28.53,28.51
2019-01-29 10:00:00,28.72,28.82,28.56,28.56
2019-01-29 11:00:00,28.59,28.77,28.75,28.47
2019-01-29 12:00:00,28.73,28.75,28.6,28.57
2019-01-29 14:00:00,28.66,28.8,28.72,28.65
2019-01-29 15:00:00,28.64,28.73,28.67,28.61
2019-01-30 10:00:00,28.49,28.64,28.6,28.38
2019-01-30 11:00:00,28.61,28.74,28.5,28.48
2019-01-30 12:00:00,28.78,28.79,28.6,28.56
2019-01-30 14:00:00,28.47,28.76,28.76,28.39
2019-01-30 15:00:00,28.42,28.59,28.47,28.32
2019-01-31 10:00:00,28.87,28.94,28.45,28.45
2019-01-31 11:00:00,29.09,29.13,28.85,28.79
2019-01-31 12:00:00,29.13,29.29,29.08,29.05
2019-01-31 14:00:00,29.1,29.18,29.13,29.01
2019-01-31 15:00:00,29.21,29.21,29.1,28.92
2019-02-01 10:00:00,28.94,29.3,29.21,28.94
2019-02-01 11:00:00,29.19,29.2,28.95,28.88
2019-02-01 12:00:00,29.25,29.25,29.19,29.14
2019-02-01 14:00:00,29.2,29.2,29.18,29.09
2019-02-01 15:00:00,29.3,29.43,29.2,29.18
2019-02-11 10:00:00,29.01,29.24,29.1,28.9
2019-02-11 11:00:00,29.3,29.3,28.98,28.96
2019-02-11 12:00:00,29.39,29.42,29.3,29.28
2019-02-11 14:00:00,29.34,29.39,29.39,29.2
2019-02-11 15:00:00,29.39,29.52,29.34,29.33
2019-02-12 10:00:00,29.14,29.58,29.39,28.98
2019-02-12 11:00:00,29.15,29.2,29.13,28.98
2019-02-12 12:00:00,29.38,29.49,29.14,29.1
2019-02-12 14:00:00,29.31,29.48,29.4,29.2
2019-02-12 15:00:00,29.32,29.37,29.32,29.1
2019-02-13 10:00:00,29.18,29.32,29.32,29.13
2019-02-13 11:00:00,29.24,29.42,29.19,29.16
2019-02-13 12:00:00,29.26,29.29,29.24,29.15
