,close,high,open
2019-01-02 10:00:00,16.66,17.0,17.0
2019-01-02 11:00:00,16.65,16.71,16.66
2019-01-02 12:00:00,16.62,16.65,16.65
2019-01-02 14:00:00,16.7,16.8,16.62
2019-01-02 15:00:00,16.7,16.78,16.7
2019-01-03 10:00:00,16.6,16.71,16.7
2019-01-03 11:00:00,16.13,16.68,16.58
2019-01-03 12:00:00,16.15,16.2,16.15
2019-01-03 14:00:00,16.04,16.17,16.16
2019-01-03 15:00:00,16.08,16.39,16.04
2019-01-04 10:00:00,16.17,16.19,16.0
2019-01-04 11:00:00,16.18,16.19,16.17
2019-01-04 12:00:00,16.24,16.25,16.18
2019-01-04 14:00:00,16.21,16.25,16.24
2019-01-04 15:00:00,16.2,16.21,16.2
2019-01-07 10:00:00,16.29,16.4,16.25
2019-01-07 11:00:00,16.28,16.37,16.29
2019-01-07 12:00:00,16.24,16.29,16.28
2019-01-07 14:00:00,16.2,16.26,16.24
2019-01-07 15:00:00,16.2,16.23,16.23
2019-01-08 10:00:00,16.21,16.26,16.2
2019-01-08 11:00:00,16.21,16.22,16.19
2019-01-08 12:00:00,16.3,16.33,16.21
2019-01-08 14:00:00,16.26,16.3,16.29
2019-01-08 15:00:00,16.37,16.38,16.27
2019-01-09 10:00:00,16.75,16.77,16.41
2019-01-09 11:00:00,16.69,16.75,16.75
2019-01-09 12:00:00,16.69,16.7,16.69
2019-01-09 14:00:00,16.7,16.72,16.69
2019-01-09 15:00:00,16.66,16.7,16.7
2019-01-10 10:00:00,16.74,16.76,16.63
2019-01-10 11:00:00,16.7,16.85,16.74
2019-01-10 12:00:00,16.68,16.7,16.7
2019-01-10 14:00:00,16.55,16.68,16.68
2019-01-10 15:00:00,16.54,16.55,16.55
2019-01-11 10:00:00,16.54,16.83,16.65
2019-01-11 11:00:00,16.41,16.56,16.54
2019-01-11 12:00:00,16.44,16.45,16.4
2019-01-11 14:00:00,16.48,16.53,16.44
2019-01-11 15:00:00,16.57,16.6,16.47
2019-01-14 10:00:00,16.5,16.58,16.51
2019-01-14 11:00:00,16.67,16.69,16.5
2019-01-14 12:00:00,16.72,16.8,16.67
2019-01-14 14:00:00,16.75,16.84,16.71
2019-01-14 15:00:00,16.71,16.75,16.75
2019-01-15 10:00:00,16.58,16.68,16.67
2019-01-15 11:00:00,16.73,16.83,16.57
2019-01-15 12:00:00,16.8,16.82,16.73
2019-01-15 14:00:00,16.73,16.79,16.79
2019-01-15 15:00:00,16.72,16.8,16.73
2019-01-16 10:00:00,16.69,16.8,16.68
2019-01-16 11:00:00,16.67,16.76,16.69
2019-01-16 12:00:00,16.62,16.68,16.67
2019-01-16 14:00:00,16.72,16.72,16.62
2019-01-16 15:00:00,16.66,16.83,16.72
2019-01-17 10:00:00,16.46,16.64,16.6
2019-01-17 11:00:00,16.78,16.78,16.46
2019-01-17 12:00:00,16.73,16.9,16.78
2019-01-17 14:00:00,16.78,16.84,16.72
2019-01-17 15:00:00,16.76,16.8,16.78
2019-01-18 10:00:00,16.63,16.8,16.7
2019-01-18 11:00:00,16.73,16.8,16.63
2019-01-18 12:00:00,16.62,16.78,16.73
2019-01-18 14:00:00,16.62,16.64,16.62
2019-01-18 15:00:00,16.77,16.8,16.6
2019-01-21 10:00:00,16.58,16.72,16.72
2019-01-21 11:00:00,16.64,16.65,16.57
2019-01-21 12:00:00,16.59,16.64,16.64
2019-01-21 14:00:00,16.53,16.6,16.59
2019-01-21 15:00:00,16.46,16.54,16.53
2019-01-22 10:00:00,16.54,16.55,16.45
2019-01-22 11:00:00,16.51,16.56,16.54
