,close,high,open,low
2019-01-02 10:00:00,36.03,36.45,36.45,35.98
2019-01-02 11:00:00,36.02,36.08,36.03,35.88
2019-01-02 12:00:00,36.03,36.07,36.01,35.91
2019-01-02 14:00:00,35.72,36.03,36.02,35.7
2019-01-02 15:00:00,35.8,35.93,35.71,35.71
2019-01-03 10:00:00,35.98,36.1,35.8,35.75
2019-01-03 11:00:00,35.92,36.19,35.97,35.9
2019-01-03 12:00:00,35.96,35.98,35.92,35.81
2019-01-03 14:00:00,36.01,36.1,35.96,35.83
2019-01-03 15:00:00,35.92,36.04,36.01,35.85
2019-01-04 10:00:00,36.1,36.16,35.72,35.58
2019-01-04 11:00:00,36.3,36.3,36.11,35.95
2019-01-04 12:00:00,36.53,36.53,36.29,36.23
2019-01-04 14:00:00,36.43,36.7,36.6,36.31
2019-01-04 15:00:00,36.65,36.66,36.43,36.4
2019-01-07 10:00:00,36.6,36.91,36.88,36.42
2019-01-07 11:00:00,36.45,36.62,36.61,36.25
2019-01-07 12:00:00,36.35,36.48,36.43,36.32
2019-01-07 14:00:00,36.44,36.44,36.35,36.3
2019-01-07 15:00:00,36.48,36.53,36.43,36.32
2019-01-08 10:00:00,36.3,36.41,36.41,36.03
2019-01-08 11:00:00,36.29,36.35,36.3,36.14
2019-01-08 12:00:00,36.29,36.33,36.29,36.22
2019-01-08 14:00:00,36.29,36.4,36.29,36.26
2019-01-08 15:00:00,36.34,36.39,36.29,36.28
2019-01-09 10:00:00,37.68,37.69,37.2,37.08
2019-01-09 11:00:00,37.9,38.06,37.67,37.58
2019-01-09 12:00:00,37.96,38.0,37.92,37.78
2019-01-09 14:00:00,37.88,38.03,37.95,37.82
2019-01-09 15:00:00,37.51,37.86,37.84,37.5
2019-01-10 10:00:00,37.85,37.88,37.38,37.3
2019-01-10 11:00:00,37.74,37.93,37.85,37.69
2019-01-10 12:00:00,37.88,37.92,37.75,37.73
2019-01-10 14:00:00,37.83,37.93,37.88,37.78
2019-01-10 15:00:00,37.76,37.92,37.84,37.67
2019-01-11 10:00:00,37.61,37.96,37.96,37.4
2019-01-11 11:00:00,37.54,37.83,37.61,37.46
2019-01-11 12:00:00,37.58,37.58,37.5,37.46
2019-01-11 14:00:00,37.63,37.75,37.56,37.5
2019-01-11 15:00:00,37.73,37.83,37.66,37.56
2019-01-14 10:00:00,37.78,37.96,37.77,37.7
2019-01-14 11:00:00,37.71,37.83,37.79,37.54
2019-01-14 12:00:00,37.62,37.74,37.74,37.56
2019-01-14 14:00:00,37.64,37.76,37.62,37.59
2019-01-14 15:00:00,37.68,37.76,37.63,37.6
2019-01-15 10:00:00,38.1,38.33,37.84,37.71
2019-01-15 11:00:00,38.26,38.28,38.1,38.06
2019-01-15 12:00:00,38.68,38.68,38.26,38.25
2019-01-15 14:00:00,38.72,38.81,38.7,38.5
2019-01-15 15:00:00,38.78,38.88,38.72,38.72
2019-01-16 10:00:00,39.45,39.49,38.8,38.66
2019-01-16 11:00:00,38.96,39.46,39.46,38.88
2019-01-16 12:00:00,39.01,39.1,38.96,38.91
2019-01-16 14:00:00,39.16,39.2,39.0,38.9
2019-01-16 15:00:00,39.31,39.38,39.17,39.15
2019-01-17 10:00:00,38.36,38.75,38.1,38.0
2019-01-17 11:00:00,38.33,38.46,38.36,38.17
2019-01-17 12:00:00,38.62,38.63,38.32,38.32
2019-01-17 14:00:00,38.82,38.88,38.63,38.49
2019-01-17 15:00:00,38.66,38.86,38.82,38.39
2019-01-18 10:00:00,38.77,38.9,38.68,38.46
2019-01-18 11:00:00,38.64,38.87,38.75,38.48
2019-01-18 12:00:00,38.78,38.85,38.64,38.6
2019-01-18 14:00:00,39.02,39.14,38.78,38.74
2019-01-18 15:00:00,38.97,39.12,39.01,38.84
2019-01-21 10:00:00,40.0,40.14,39.03,38.87
2019-01-21 11:00:00,39.74,40.03,40.02,39.46
2019-01-21 12:00:00,39.55,39.8,39.74,39.5
2019-01-21 14:00:00,39.35,39.56,39.55,39.27
2019-01-21 15:00:00,39.48,39.53,39.35,39.28
2019-01-22 10:00:00,38.92,39.47,39.47,38.67
2019-01-22 11:00:00,38.92,39.05,38.88,38.81
2019-01-22 12:00:00,38.9,38.97,38.92,38.86
2019-01-22 14:00:00,38.94,38.95,38.9,38.71
2019-01-22 15:00:00,38.91,38.99,38.94,38.84
2019-01-23 10:00:00,39.21,39.26,38.72,38.5
2019-01-23 11:00:00,39.22,39.46,39.21,39.05
2019-01-23 12:00:00,39.18,39.35,39.23,39.16
2019-01-23 14:00:00,39.23,39.4,39.17,39.14
2019-01-23 15:00:00,39.19,39.3,39.24,39.17
2019-01-24 10:00:00,39.13,39.47,39.46,39.01
2019-01-24 11:00:00,39.32,39.47,39.12,39.04
2019-01-24 12:00:00,39.45,39.5,39.31,39.3
2019-01-24 14:00:00,39.37,39.49,39.47,39.25
2019-01-24 15:00:00,39.38,39.45,39.37,39.33
2019-01-25 10:00:00,39.54,39.74,39.56,39.23
2019-01-25 11:00:00,39.96,40.1,39.54,39.48
2019-01-25 12:00:00,40.01,40.05,39.96,39.95
2019-01-25 14:00:00,40.0,40.07,40.01,39.95
2019-01-25 15:00:00,39.9,40.02,40.0,39.9
2019-01-28 10:00:00,40.78,40.84,40.1,40.1
2019-01-28 11:00:00,40.85,41.29,40.77,40.74
2019-01-28 12:00:00,40.62,40.89,40.85,40.6
2019-01-28 14:00:00,40.32,40.62,40.61,40.13
2019-01-28 15:00:00,40.29,40.31,40.31,40.11
2019-01-29 10:00:00,40.73,40.84,40.25,40.12
2019-01-29 11:00:00,40.58,40.74,40.73,40.13
2019-01-29 12:00:00,40.78,40.84,40.58,40.57
2019-01-29 14:00:00,40.95,41.0,40.78,40.7
2019-01-29 15:00:00,41.1,41.17,40.95,40.95
2019-01-30 10:00:00,40.6,41.03,40.83,40.48
2019-01-30 11:00:00,40.74,40.85,40.6,40.58
2019-01-30 12:00:00,41.0,41.04,40.73,40.72
2019-01-30 14:00:00,40.87,41.0,40.99,40.73
2019-01-30 15:00:00,40.7,41.0,40.88,40.7
2019-01-31 10:00:00,41.2,41.5,41.08,40.9
2019-01-31 11:00:00,41.3,41.39,41.21,40.99
2019-01-31 12:00:00,41.47,41.72,41.3,41.29
2019-01-31 14:00:00,41.53,41.62,41.47,41.31
2019-01-31 15:00:00,41.75,41.75,41.51,41.33
2019-02-01 10:00:00,41.7,42.35,42.35,41.69
2019-02-01 11:00:00,41.87,41.97,41.7,41.65
2019-02-01 12:00:00,42.0,42.08,41.86,41.8
2019-02-01 14:00:00,41.99,42.0,42.0,41.8
2019-02-01 15:00:00,41.96,42.19,42.0,41.92
2019-02-11 10:00:00,42.34,42.37,41.87,41.79
2019-02-11 11:00:00,42.86,42.86,42.35,42.33
2019-02-11 12:00:00,43.01,43.16,42.85,42.85
2019-02-11 14:00:00,43.03,43.28,43.01,42.95
2019-02-11 15:00:00,43.07,43.19,43.03,43.0
2019-02-12 10:00:00,43.24,43.45,43.07,42.84
2019-02-12 11:00:00,43.12,43.29,43.23,42.92
2019-02-12 12:00:00,43.23,43.29,43.12,43.12
2019-02-12 14:00:00,42.99,43.27,43.23,42.9
2019-02-12 15:00:00,43.22,43.24,42.98,42.95
2019-02-13 10:00:00,43.36,43.47,43.37,43.17
2019-02-13 11:00:00,43.05,43.65,43.37,43.02
2019-02-13 12:00:00,43.05,43.15,43.04,42.84
2019-02-13 14:00:00,43.41,43.42,43.04,43.01
2019-02-13 15:00:00,43.51,43.59,43.41,43.2
2019-02-14 10:00:00,43.69,43.91,43.46,43.22
2019-02-14 11:00:00,44.0,44.4,43.68,43.6
2019-02-14 12:00:00,44.25,44.4,44.0,43.99
2019-02-14 14:00:00,44.21,44.31,44.25,44.15
2019-02-14 15:00:00,44.35,44.5,44.22,44.19
2019-02-15 10:00:00,43.89,44.24,44.24,43.85
2019-02-15 11:00:00,43.74,43.9,43.9,42.95
2019-02-15 12:00:00,43.38,43.75,43.75,43.22
2019-02-15 14:00:00,43.04,43.38,43.38,43.02
2019-02-15 15:00:00,42.75,43.1,43.04,42.67
2019-02-18 10:00:00,43.9,44.08,43.29,43.25
2019-02-18 11:00:00,43.97,44.04,43.9,43.63
2019-02-18 12:00:00,43.97,44.24,43.98,43.92
2019-02-18 14:00:00,44.03,44.13,43.98,43.97
2019-02-18 15:00:00,44.09,44.28,44.03,43.96
2019-02-19 10:00:00,45.1,45.5,44.5,44.5
2019-02-19 11:00:00,45.0,45.17,45.11,44.72
2019-02-19 12:00:00,44.72,45.03,45.0,44.63
2019-02-19 14:00:00,44.45,44.7,44.7,44.26
2019-02-19 15:00:00,44.62,44.71,44.45,44.3
2019-02-20 10:00:00,44.89,45.05,44.99,44.67
