,close,high,open,low
2019-01-02 10:00:00,7.01,7.07,7.05,7.0
2019-01-02 11:00:00,7.04,7.05,7.01,7.0
2019-01-02 12:00:00,7.01,7.04,7.04,6.99
2019-01-02 14:00:00,6.98,7.02,7.01,6.96
2019-01-02 15:00:00,6.93,7.01,6.98,6.91
2019-01-03 10:00:00,7.01,7.03,6.91,6.91
2019-01-03 11:00:00,6.97,7.07,7.01,6.97
2019-01-03 12:00:00,6.97,6.99,6.97,6.95
2019-01-03 14:00:00,7.03,7.04,6.98,6.96
2019-01-03 15:00:00,6.96,7.03,7.02,6.95
2019-01-04 10:00:00,6.95,6.98,6.9,6.88
2019-01-04 11:00:00,7.01,7.02,6.95,6.93
2019-01-04 12:00:00,7.07,7.08,7.02,7.0
2019-01-04 14:00:00,7.05,7.09,7.08,7.04
2019-01-04 15:00:00,7.07,7.08,7.04,7.03
2019-01-07 10:00:00,7.2,7.21,7.12,7.08
2019-01-07 11:00:00,7.2,7.23,7.2,7.16
2019-01-07 12:00:00,7.2,7.21,7.2,7.17
2019-01-07 14:00:00,7.17,7.2,7.2,7.14
2019-01-07 15:00:00,7.18,7.19,7.17,7.13
2019-01-08 10:00:00,7.2,7.2,7.15,7.13
2019-01-08 11:00:00,7.15,7.21,7.2,7.15
2019-01-08 12:00:00,7.16,7.16,7.15,7.14
2019-01-08 14:00:00,7.14,7.17,7.16,7.12
2019-01-08 15:00:00,7.13,7.16,7.14,7.12
2019-01-09 10:00:00,7.2,7.21,7.17,7.14
2019-01-09 11:00:00,7.24,7.27,7.2,7.19
2019-01-09 12:00:00,7.23,7.25,7.24,7.21
2019-01-09 14:00:00,7.19,7.23,7.22,7.18
2019-01-09 15:00:00,7.14,7.2,7.19,7.14
2019-01-10 10:00:00,7.12,7.17,7.17,7.08
2019-01-10 11:00:00,7.1,7.14,7.12,7.08
2019-01-10 12:00:00,7.14,7.15,7.1,7.08
2019-01-10 14:00:00,7.12,7.15,7.14,7.08
2019-01-10 15:00:00,7.07,7.12,7.12,7.06
2019-01-11 10:00:00,7.12,7.14,7.09,7.08
2019-01-11 11:00:00,7.1,7.14,7.12,7.08
2019-01-11 12:00:00,7.09,7.11,7.09,7.07
2019-01-11 14:00:00,7.12,7.14,7.09,7.07
2019-01-11 15:00:00,7.12,7.14,7.12,7.08
2019-01-14 10:00:00,7.14,7.17,7.13,7.11
2019-01-14 11:00:00,7.23,7.24,7.15,7.14
